name,url,star,class_name,pos,tag,public_recruit,report
12F,https://prts.wiki/w/12F,2,术师,远程位,新手,True,感谢阁下让我加入这里，从今天开始，我将尽全力为您效劳——作为一名术师。一直以来我都没有名字，如果感觉不方便的话，今后请用12F称呼我。
Castle-3,https://prts.wiki/w/Castle-3,1,近卫,近战位,"支援机械,支援",True,您好，博士，欢迎使用Castle-3！请点击任意位置以开始初始化首选项。
Friston-3,https://prts.wiki/w/Friston-3,1,重装,近战位,"支援机械,防护",True,你好，我是Friston。没错，就是“Friston”，不是什么“Friston-3”，我不是复制品，更不是复制品的复制品，希望你能理解。
Lancet-2,https://prts.wiki/w/Lancet-2,1,医疗,远程位,"支援机械,治疗",True,嗨，你好，博士。你在期待我能对你多说些什么，但我不能，毕竟我只是一台医疗机器人......
THRM-EX,https://prts.wiki/w/THRM-EX,1,特种,近战位,"支援机械,爆发",True,诞生于雷神工业，改进于伟大的梅尔之手，膨胀的炙热之心——Thermal-EX ，前来助阵！
U-Official,https://prts.wiki/w/U-Official,1,辅助,远程位,控场,False,呀嚯~观众朋友你们好，我是你们的尤......呀！不对不对，罗德岛干员，U-Official，向博士报到！
W,https://prts.wiki/w/W,6,狙击,远程位,"输出,控场",False,萨卡兹佣兵，W，真是好久不见，虽然这个“好久”可能含义不同。但没关系，既然现在的你不是我要找的你，那你暂时是安全的，暂时哦。
万顷,https://prts.wiki/w/万顷,5,先锋,近战位,"费用回复,支援",False,为什么叫“万顷”？这名字是老师从大荒城成功的实验稻品种里选的，剩下的是防涝三号、早优八号、抗冻十一......“万顷”已经是里面最好听的了。
临光,https://prts.wiki/w/临光,5,重装,近战位,"防护,治疗",True,玛嘉烈·临光，卡西米尔耀骑士......不，就让我作为一名罗德岛干员，用这面盾牌捍卫您的生命、您的荣耀。
乌有,https://prts.wiki/w/乌有,5,特种,近战位,"快速复活,输出",False,代号是吧，“乌有”，子虚乌有的乌有，您就是博士？就是我新老板啦？哎，要捶背不？要揉揉腿吗？
九色鹿,https://prts.wiki/w/九色鹿,5,辅助,远程位,"支援,生存",False,初次见面，我是九色鹿。嗯？这个花纹很好看吗？谢，谢谢......以后请多多关照了。
亚叶,https://prts.wiki/w/亚叶,5,医疗,远程位,"治疗,输出",False,我是医疗部的亚叶，现在开始参加战地医疗任务，同时应凯尔希老师的要求，对您的健康情况进行管理，请多指教。
仇白,https://prts.wiki/w/仇白,6,近卫,近战位,"输出,控场",False,博士，我是仇白。此行会在罗德岛待多久，我还不清楚，但哪怕萍水相逢，也算一段际遇。我们应该能处得来。
令,https://prts.wiki/w/令,6,辅助,远程位,"召唤,支援,控场",False,令，如此称呼我就好，我那两个麻烦妹妹没给您添麻烦吧？唔？见过我？啊......也许是在梦中吧。
伊内丝,https://prts.wiki/w/伊内丝,6,先锋,近战位,"费用回复,快速复活",False,阿斯卡纶给你看过我的档案了。信使......还是雇佣兵？这不重要。你只需要知道，我暂时不会威胁你的性命，“博士”。
伊桑,https://prts.wiki/w/伊桑,4,特种,近战位,"输出,控场",False,你问我在哪儿？就在你面前！叫我伊桑吧。你问我刚才发生了啥？哈哈，现在还不能说哦！
伊芙利特,https://prts.wiki/w/伊芙利特,6,术师,远程位,"群攻,削弱",True,我就是伊芙利特！赫默说罗德岛是个好地方，但我不喜欢你们这些穿白大衣的家伙......除了赫默之外。
休谟斯,https://prts.wiki/w/休谟斯,4,近卫,近战位,"输出,生存",False,博士，你们罗德岛帮了我那么多，我除了感激没话说。你要是用得上我，尽管说，一定想办法给你办成！
伺夜,https://prts.wiki/w/伺夜,6,先锋,远程位,"费用回复,控场",False,你好，博士，我是贝洛内家族的......算了，如今我的家族已不复存在，但这份代价也为叙拉古带来了足够的改变。至于更进一步......干员伺夜向你报到，博士，希望我们合作愉快。
但书,https://prts.wiki/w/但书,5,辅助,远程位,"削弱,减速",False,您好，我叫黛丝特，是刚入职的法律顾问。如果需要一个代号的话，就叫我但书吧。姑且一提，一般公司用代号模糊员工身份的做法，在我这可行不通哦。
假日威龙陈,https://prts.wiki/w/假日威龙陈,6,狙击,远程位,"输出,群攻",False,陈，从多索雷斯度假归来。关于这次度假，我有不少报告要写，所以只是路过来跟你打个招呼，博士。要出任务了叫我，假期结束了，一切照旧。
傀影,https://prts.wiki/w/傀影,6,特种,近战位,"快速复活,控场,输出",True,代号傀影，黑夜中的幽灵，幕布后的幻影。告诉我，你的敌人在哪，是谁......
